Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Luchita,13,Ingreso,Familiares,Pedido de Elena del 30/8,https://res.cloudinary.com/gscloudinary/image/upload/v1663209152/conta-fam/onjuxc0ohgenz9uzrudl.jpg,"September 14, 2022 9:32 PM","August 30, 2022"
Luchita,405,Gasto,Compra a Keylita,Pago de pedido,https://res.cloudinary.com/gscloudinary/image/upload/v1661826180/conta-fam/stsba9quqehbpgwca3il.jpg,"August 29, 2022 9:23 PM","August 29, 2022"
Claudia,29,Ingreso,Trabajo Lucha,,https://res.cloudinary.com/gscloudinary/image/upload/v1661828160/conta-fam/qdlwwiuxhvpkehq8mgvv.png,"August 29, 2022 9:56 PM","August 26, 2022"
Luchita,22.5,Ingreso,Familiares,"Pedido Javier Hong ",https://res.cloudinary.com/gscloudinary/image/upload/v1661647639/conta-fam/jobh5lf2i3jblsomuisl.jpg,"August 27, 2022 7:47 PM","August 24, 2022"
Luchita,69.6,Ingreso,Otros,"Sr. De Surquillo, cantante",https://res.cloudinary.com/gscloudinary/image/upload/v1661647565/conta-fam/cijmj05acciioqotp4ky.jpg,"August 27, 2022 7:46 PM","August 24, 2022"
Luchita,331.1,Ingreso,SENASA,Pago senasa,https://res.cloudinary.com/gscloudinary/image/upload/v1661647490/conta-fam/vcieqeewfgo61teggtjk.jpg,"August 27, 2022 7:44 PM","August 24, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo de chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1660956210/conta-fam/roytjnhw30pahjllyyzo.jpg,"August 19, 2022 7:43 PM","August 18, 2022"
Luchita,405,Gasto,Compra a Keylita,"Pago de pedido Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1660625781/conta-fam/frg5boumpzkrfg9twdfj.jpg,"August 15, 2022 11:56 PM","August 15, 2022"
Luchita,26,Ingreso,Familiares,2da mitad del pago de las 8 bolsas que pidió  Stepanie,https://res.cloudinary.com/gscloudinary/image/upload/v1660625646/conta-fam/rdhlkl2pxdqvmfzhvgs5.jpg,"August 15, 2022 11:54 PM","August 15, 2022"
Claudia,26,Ingreso,Familiares,"Tía Elena ",https://res.cloudinary.com/gscloudinary/image/upload/v1660623693/conta-fam/gsmawfovtvpi4hmckldt.png,"August 15, 2022 11:21 PM","August 15, 2022"
Juanito,26,Ingreso,Familiares,"De Elena una parte ",https://res.cloudinary.com/gscloudinary/image/upload/v1660700763/conta-fam/hzottowroleqlzsxxeas.jpg,"August 16, 2022 8:46 PM","August 12, 2022"
Luchita,331.1,Ingreso,SENASA,Sena pagó  hoy,https://res.cloudinary.com/gscloudinary/image/upload/v1660189743/conta-fam/q6s4jdneokbmr3owlxa3.jpg,"August 10, 2022 10:49 PM","August 10, 2022"
Juanito,75.6,Ingreso,Otros,"Pago de Surquillo ",https://res.cloudinary.com/gscloudinary/image/upload/v1660185746/conta-fam/stenvuqzs4ujloulepwx.jpg,"August 10, 2022 9:42 PM","August 10, 2022"
Luchita,48.5,Ingreso,Familiares,Pedido de Javier Hong y Aurora,https://res.cloudinary.com/gscloudinary/image/upload/v1660189673/conta-fam/khidexdvoncxmjrvbr8f.jpg,"August 10, 2022 10:47 PM","August 9, 2022"
Luchita,61.5,Ingreso,Familiares,Pedido Aurora de hoy 32.50 y 29.00 de Marita pagado el 25/7,https://res.cloudinary.com/gscloudinary/image/upload/v1659153319/conta-fam/mlc2fkkyyc17yajevsah.jpg,"July 29, 2022 10:55 PM","July 29, 2022"
Juanito,117,Ingreso,Otros,"Amiga Claudia,Mirtha,Iris, trabajo Luchi.",https://res.cloudinary.com/gscloudinary/image/upload/v1659154028/conta-fam/xb0ufwoxcfl8poqv23v2.jpg,"July 29, 2022 11:07 PM","July 28, 2022"
Luchita,420,Gasto,Otros,Mantenimiento GLP camioneta,https://res.cloudinary.com/gscloudinary/image/upload/v1658804977/conta-fam/c07pnpazteu67etm8hzw.jpg,"July 25, 2022 10:09 PM","July 25, 2022"
Luchita,331.1,Ingreso,SENASA,"Hizo yape, hoy mismo transferí a cuenta de chifles.",https://res.cloudinary.com/gscloudinary/image/upload/v1658779107/conta-fam/jy8wncbdxnvtpq3sccda.jpg,"July 25, 2022 2:58 PM","July 25, 2022"
Luchita,30,Gasto,Recojo de chifles,Recojo 2 cajas de chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1658525115/conta-fam/pvesfgrnx23mnwjcwaow.jpg,"July 22, 2022 4:25 PM","July 22, 2022"
Luchita,50,Ingreso,Trabajo Lucha,"Ventas en oficina ",https://res.cloudinary.com/gscloudinary/image/upload/v1658283835/conta-fam/epqbfw6k51hjkxagbvag.jpg,"July 19, 2022 9:23 PM","July 19, 2022"
Luchita,40,Ingreso,Familiares,Pedido de Rocío Cruz,https://res.cloudinary.com/gscloudinary/image/upload/v1658283776/conta-fam/nnv19ccgxeb53wolz9e2.jpg,"July 19, 2022 9:22 PM","July 19, 2022"
Luchita,169.3,Ingreso,SENASA,Pago de 1era factura de senasa,https://res.cloudinary.com/gscloudinary/image/upload/v1658282528/conta-fam/jx9xmu01x0dycjbwspzr.jpg,"July 19, 2022 9:02 PM","July 18, 2022"
Luchita,5,Gasto,Otros,"Cochera por recojo de etiquetas 🏷 ",https://res.cloudinary.com/gscloudinary/image/upload/v1658195852/conta-fam/abfvp5azodghlxoawiti.jpg,"July 18, 2022 8:57 PM","July 18, 2022"
Luchita,150,Gasto,Materiales,"ETIQUETAS 🏷 ",https://res.cloudinary.com/gscloudinary/image/upload/v1658010439/conta-fam/uh97sit010b5nmpapqjb.jpg,"July 16, 2022 5:27 PM","July 16, 2022"
Luchita,19.5,Ingreso,Familiares,ELENA 3 x 200 gr 6.50 C/U,https://res.cloudinary.com/gscloudinary/image/upload/v1657986677/conta-fam/blx0frzioyuhbngid7vh.jpg,"July 16, 2022 10:51 AM","July 16, 2022"
Luchita,855,Gasto,Compra a Keylita,"2do pedido con nuevo precio ",https://res.cloudinary.com/gscloudinary/image/upload/v1657985094/conta-fam/famcglqompxsbxlnup9k.jpg,"July 16, 2022 10:24 AM","July 16, 2022"
Luchita,60.5,Ingreso,Trabajo Lucha,Con precio antiguo,https://res.cloudinary.com/gscloudinary/image/upload/v1657984792/conta-fam/v6h56rlw2psq1kglsa4l.jpg,"July 16, 2022 10:19 AM","July 16, 2022"
Luchita,15,Gasto,Recojo de chifles,"Hice yape de mi cuenta a Juan ",https://res.cloudinary.com/gscloudinary/image/upload/v1657750530/conta-fam/hhnqzdmjuw5berkd9klb.jpg,"July 13, 2022 5:15 PM","July 13, 2022"
Luchita,420,Gasto,Compra a Keylita,Primer pedido con nuevo precio,https://res.cloudinary.com/gscloudinary/image/upload/v1657591795/conta-fam/muv0uwupk8fr0xsluk1g.jpg,"July 11, 2022 9:09 PM","July 11, 2022"
Luchita,165.5,Ingreso,SENASA,Primer pago senasa con el nuevo precio,https://res.cloudinary.com/gscloudinary/image/upload/v1657334608/conta-fam/ffb8ejyxw8g6rz7hw42f.jpg,"July 8, 2022 9:43 PM","July 8, 2022"
Claudia,73,Ingreso,Otros,Pedido maira,https://res.cloudinary.com/gscloudinary/image/upload/v1657246597/conta-fam/v2tgskcb1urlmcociaza.png,"July 7, 2022 9:16 PM","July 7, 2022"
Luchita,270.6,Ingreso,SENASA,Hoy transferí importe a cuenta chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1656860395/conta-fam/oa3a3rhuntuh7o3hc7li.jpg,"July 3, 2022 9:59 AM","July 1, 2022"
Juanito,28,Ingreso,Familiares,"Pago de Mirtha, 4 bolsas.",https://res.cloudinary.com/gscloudinary/image/upload/v1656733415/conta-fam/fohhkxiukm7h0abwklti.jpg,"July 1, 2022 10:43 PM","July 1, 2022"
Luchita,34,Ingreso,Familiares,"4 chifles Marita, 1 clásico  Elena ",https://res.cloudinary.com/gscloudinary/image/upload/v1656645488/conta-fam/fo5xlf94vo0a79irukah.jpg,"June 30, 2022 10:18 PM","June 30, 2022"
Luchita,261,Ingreso,Trabajo Lucha,Venta en oficina con cierre a hoy 23/06,https://res.cloudinary.com/gscloudinary/image/upload/v1656035991/conta-fam/cozheoybpsnyexoxgvxp.jpg,"June 23, 2022 8:59 PM","June 23, 2022"
Luchita,270.6,Ingreso,SENASA,"Pago Senasa ",https://res.cloudinary.com/gscloudinary/image/upload/v1655862779/conta-fam/oyois1t7nh5yypmat1th.jpg,"June 21, 2022 8:53 PM","June 21, 2022"
Claudia,26,Ingreso,Otros,Pedido la molina. La chica pago 8 por delivery adicional que se le entrego a mi papá.,https://res.cloudinary.com/gscloudinary/image/upload/v1655691702/conta-fam/yvjenfqzstujween6hn5.png,"June 19, 2022 9:21 PM","June 19, 2022"
Juan Luis,8,Gasto,Otros,Pago de delivery a Juanito por envío de chifles a la Molina,https://res.cloudinary.com/gscloudinary/image/upload/v1655513981/conta-fam/xrgdeu6wcjmc4a2bjlwh.jpg,"June 17, 2022 7:59 PM","June 17, 2022"
